# tau vacf_xx vacf_yy vacf_zz
7.500000000000000000e+01 -2.145186274872561054e-11 -2.160214787208072935e-11 -2.176115961068406665e-11
7.600000000000000000e+01 -2.440484940371005269e-11 -2.412863574592689889e-11 -2.337137495909714460e-11
7.700000000000000000e+01 -2.796087479493715759e-11 -2.678538213323408007e-11 -2.622761199868327458e-11
7.800000000000000000e+01 -3.147459457661493696e-11 -2.897572939188736457e-11 -3.024481624678325315e-11
7.900000000000000000e+01 -3.431406118236396083e-11 -3.054291639828983843e-11 -3.443225647443978761e-11
8.000000000000000000e+01 -3.591976829682349312e-11 -3.193275366438575462e-11 -3.755585774639110044e-11
8.100000000000000000e+01 -3.617109765504684368e-11 -3.380812136321021687e-11 -3.889990252444674917e-11
8.200000000000000000e+01 -3.585620474426477003e-11 -3.650826232099797369e-11 -3.869135718454168025e-11
8.300000000000000000e+01 -3.640116343306056520e-11 -3.971635298175513674e-11 -3.813445750200441981e-11
8.400000000000000000e+01 -3.886342912942468929e-11 -4.267073025008348023e-11 -3.890054447666359705e-11
8.500000000000000000e+01 -4.317995052103918407e-11 -4.482966636276265840e-11 -4.213210629402229386e-11
8.600000000000000000e+01 -4.814930039726791276e-11 -4.630486543873827864e-11 -4.742210016284026824e-11
8.700000000000000000e+01 -5.215898937754544772e-11 -4.761460817376154842e-11 -5.258643872134656407e-11
8.800000000000000000e+01 -5.417187481006712594e-11 -4.906869496916160924e-11 -5.491815470033166115e-11
8.900000000000000000e+01 -5.408462873074587241e-11 -5.049207831767317190e-11 -5.329636484916673799e-11
9.000000000000000000e+01 -5.247668047801405872e-11 -5.151115403449799292e-11 -4.920759176521795006e-11
9.100000000000000000e+01 -5.029309059873809282e-11 -5.198912866701669399e-11 -4.573681991124705658e-11
9.200000000000000000e+01 -4.867704994133609577e-11 -5.211441582141810803e-11 -4.558414549731252697e-11
9.300000000000000000e+01 -4.867055181221622362e-11 -5.213593995562538803e-11 -4.939190816358873717e-11
9.400000000000000000e+01 -5.059166796687254405e-11 -5.218110315046017058e-11 -5.525367335052488395e-11
9.500000000000000000e+01 -5.355778798075523248e-11 -5.226451538834278082e-11 -5.991251861399791510e-11
9.600000000000000000e+01 -5.579308527971256448e-11 -5.231488373979722623e-11 -6.088556305385891899e-11
9.700000000000000000e+01 -5.581327926047645271e-11 -5.224545045146787355e-11 -5.795861646382012699e-11
9.800000000000000000e+01 -5.357498205398721165e-11 -5.197250054360431710e-11 -5.299668117167956029e-11
9.900000000000000000e+01 -5.045126392518299704e-11 -5.134955567054075200e-11 -4.842120835047431102e-11
1.000000000000000000e+02 -4.815725970257342003e-11 -5.028506812692206770e-11 -4.577007615476854213e-11
1.010000000000000000e+02 -4.756879040130049911e-11 -4.894157325863799157e-11 -4.519789698923912722e-11
1.020000000000000000e+02 -4.817396421775397867e-11 -4.779525312827666730e-11 -4.589221969117748661e-11
1.030000000000000000e+02 -4.868395979896628109e-11 -4.741491331967103053e-11 -4.695598954927469697e-11
1.040000000000000000e+02 -4.826436065114787316e-11 -4.786596854946242250e-11 -4.790237932820964184e-11
1.050000000000000000e+02 -4.712777817413574238e-11 -4.840738923047299382e-11 -4.848113618485478845e-11
1.060000000000000000e+02 -4.606572191645676921e-11 -4.804379092154044606e-11 -4.844085322706645890e-11
1.070000000000000000e+02 -4.550937080940736197e-11 -4.641007029290482896e-11 -4.755967038683830808e-11
1.080000000000000000e+02 -4.514009270671729193e-11 -4.421063277857882539e-11 -4.582419343845599543e-11
1.090000000000000000e+02 -4.449763009866812304e-11 -4.276251268844845108e-11 -4.374606484001318903e-11
1.100000000000000000e+02 -4.370029075936449537e-11 -4.286015086910466296e-11 -4.245218065195959383e-11
1.110000000000000000e+02 -4.329197395620404566e-11 -4.398076001484613958e-11 -4.290194103487048800e-11
1.120000000000000000e+02 -4.352411815873815775e-11 -4.475789406602736103e-11 -4.488499251471344364e-11
1.130000000000000000e+02 -4.409371802230572706e-11 -4.434742132279781663e-11 -4.697060316816931418e-11
1.140000000000000000e+02 -4.459143484293944229e-11 -4.311370711428390791e-11 -4.752809853514523103e-11
1.150000000000000000e+02 -4.489454660437375671e-11 -4.214320316101080005e-11 -4.593990890400277308e-11
1.160000000000000000e+02 -4.498272510801330140e-11 -4.235588597747945821e-11 -4.302370983778385236e-11
1.170000000000000000e+02 -4.457883092753252888e-11 -4.369682466082979336e-11 -4.044213420823832698e-11
1.180000000000000000e+02 -4.318344217342127457e-11 -4.486771615955746208e-11 -3.948377365402340123e-11
1.190000000000000000e+02 -4.063633163151225655e-11 -4.418882224356275931e-11 -4.007828595488039121e-11
1.200000000000000000e+02 -3.762974883855981972e-11 -4.120576350673022531e-11 -4.109347842014522307e-11
1.210000000000000000e+02 -3.554057451423718033e-11 -3.750533636456975183e-11 -4.161618176281385678e-11
1.220000000000000000e+02 -3.564113022879279895e-11 -3.555364726790707702e-11 -4.172710869212425421e-11
1.230000000000000000e+02 -3.804153113189675691e-11 -3.653623408922565390e-11 -4.206555218006515512e-11
1.240000000000000000e+02 -4.112973217439172086e-11 -3.943705617112609932e-11 -4.286254800072361362e-11
1.250000000000000000e+02 -4.254026547070014862e-11 -4.194474306777531225e-11 -4.343122970434091576e-11
1.260000000000000000e+02 -4.106255232121121299e-11 -4.206206104583064177e-11 -4.268541886070072529e-11
1.270000000000000000e+02 -3.742173804293457715e-11 -3.935704493506842919e-11 -4.015649533378691884e-11
1.280000000000000000e+02 -3.344972889085256509e-11 -3.518918632986241778e-11 -3.645258493823033321e-11
1.290000000000000000e+02 -3.097342626427151784e-11 -3.168385769182287510e-11 -3.291871383301443439e-11
1.300000000000000000e+02 -3.105547872904126897e-11 -3.024812669416316802e-11 -3.090527309824745774e-11
1.310000000000000000e+02 -3.342346269608228337e-11 -3.086583453318772870e-11 -3.110310838991346848e-11
1.320000000000000000e+02 -3.643204728483766275e-11 -3.255015477606095903e-11 -3.318727971378413829e-11
1.330000000000000000e+02 -3.799670915306128546e-11 -3.419586459251195345e-11 -3.593517688099348836e-11
1.340000000000000000e+02 -3.691741690449958329e-11 -3.504705820276712521e-11 -3.788371595642792092e-11
1.350000000000000000e+02 -3.359767127133593208e-11 -3.481828216168441181e-11 -3.804105402926599221e-11
1.360000000000000000e+02 -2.969164955478288144e-11 -3.374112672904508906e-11 -3.621078060701922371e-11
1.370000000000000000e+02 -2.693260140942268594e-11 -3.231006747964676184e-11 -3.306798539976026192e-11
1.380000000000000000e+02 -2.625322070246988809e-11 -3.088414599342333569e-11 -2.988689003984386929e-11
1.390000000000000000e+02 -2.766452172621556122e-11 -2.965254802841835193e-11 -2.778338857128238093e-11
1.400000000000000000e+02 -3.023458134939012088e-11 -2.857729785876482090e-11 -2.698292027896527127e-11
1.410000000000000000e+02 -3.224081087125926341e-11 -2.731226310674995370e-11 -2.687352494068615392e-11
1.420000000000000000e+02 -3.226464627450700169e-11 -2.578302933336625685e-11 -2.683854501977896576e-11
1.430000000000000000e+02 -3.038130999504121007e-11 -2.470327123519283931e-11 -2.694508185859673704e-11
1.440000000000000000e+02 -2.794668333592161634e-11 -2.508715003628733122e-11 -2.773802219049882076e-11
1.450000000000000000e+02 -2.644181307481576668e-11 -2.721850914212194923e-11 -2.925526302685237326e-11
1.460000000000000000e+02 -2.645636729703547025e-11 -3.001479521011951169e-11 -3.047989699845836121e-11
1.470000000000000000e+02 -2.735951880954004510e-11 -3.150930244925047667e-11 -3.016484181861360504e-11
1.480000000000000000e+02 -2.796683357393076237e-11 -3.036988872037672643e-11 -2.800927397582816989e-11
1.490000000000000000e+02 -2.750550897414018797e-11 -2.702919698949700772e-11 -2.487250279020244398e-11
1.500000000000000000e+02 -2.589053957356899311e-11 -2.342084867286935516e-11 -2.219509181463877234e-11
1.510000000000000000e+02 -2.356651204460729322e-11 -2.170563181305876223e-11 -2.124608098541729416e-11
1.520000000000000000e+02 -2.134882057783463268e-11 -2.273344622590896494e-11 -2.232346766403987250e-11
1.530000000000000000e+02 -2.008953185731740912e-11 -2.527489053634568547e-11 -2.439455931191333085e-11
1.540000000000000000e+02 -2.019050654386739299e-11 -2.689368932851870021e-11 -2.584740077792915595e-11
1.550000000000000000e+02 -2.140601271940590832e-11 -2.584961360797326482e-11 -2.566033024343286460e-11
1.560000000000000000e+02 -2.301299435286613049e-11 -2.238516625591145865e-11 -2.381893623280427190e-11
1.570000000000000000e+02 -2.407735749750213960e-11 -1.851088711852742485e-11 -2.114150480997196953e-11
1.580000000000000000e+02 -2.380832295600504626e-11 -1.657798886597790782e-11 -1.883835664299234173e-11
1.590000000000000000e+02 -2.203799791929391024e-11 -1.757231462846890601e-11 -1.776199287882264029e-11
1.600000000000000000e+02 -1.946803404415516695e-11 -2.037877757470316287e-11 -1.798954479935776822e-11
1.610000000000000000e+02 -1.722342568438600607e-11 -2.271678470883002899e-11 -1.909244203595963152e-11
1.620000000000000000e+02 -1.603224167087959780e-11 -2.299423874409393574e-11 -2.041793410359593382e-11
1.630000000000000000e+02 -1.572806010540170749e-11 -2.123361679214468044e-11 -2.101604704441609770e-11
1.640000000000000000e+02 -1.557771461300225020e-11 -1.846434049896063943e-11 -2.003018461215794993e-11
1.650000000000000000e+02 -1.523298112662953917e-11 -1.589017529969658684e-11 -1.769498801727817082e-11
1.660000000000000000e+02 -1.512394478887471906e-11 -1.444547478039646186e-11 -1.535128614588134970e-11
1.670000000000000000e+02 -1.584658180983645051e-11 -1.433430984513165804e-11 -1.427766692236328216e-11
1.680000000000000000e+02 -1.739821090545024192e-11 -1.486683389562286131e-11 -1.491123977037381396e-11
1.690000000000000000e+02 -1.889982967254672454e-11 -1.495737644474299760e-11 -1.673699387118849953e-11
1.700000000000000000e+02 -1.894089551715953024e-11 -1.398652764152439608e-11 -1.837850124539098639e-11
1.710000000000000000e+02 -1.656173455284960828e-11 -1.241124251501772308e-11 -1.834672831457912448e-11
1.720000000000000000e+02 -1.228943354401383254e-11 -1.156546790882632853e-11 -1.622908148768162128e-11
1.730000000000000000e+02 -8.219402298672552033e-12 -1.254797911259642380e-11 -1.304270061023507013e-11
1.740000000000000000e+02 -6.775317808015382352e-12 -1.511090281083798955e-11 -1.051413301542349728e-11
1.750000000000000000e+02 -8.845361825233601812e-12 -1.765897972705129663e-11 -9.991568203560913760e-12
1.760000000000000000e+02 -1.289827326173448150e-11 -1.831512057354199678e-11 -1.159726784405034864e-11
1.770000000000000000e+02 -1.612988766266514159e-11 -1.612980495437428196e-11 -1.415362638348991813e-11
1.780000000000000000e+02 -1.670575245927591148e-11 -1.180364163053010801e-11 -1.598593885258626842e-11
1.790000000000000000e+02 -1.497632416591677627e-11 -7.446990792550818950e-12 -1.601249354007437366e-11
1.800000000000000000e+02 -1.272157991841060407e-11 -5.185804087269515001e-12 -1.426824879887728329e-11
1.810000000000000000e+02 -1.152194949866299371e-11 -5.783061793845017752e-12 -1.160033914943104932e-11
1.820000000000000000e+02 -1.165878351805629833e-11 -8.416438102902990910e-12 -9.122949666118677107e-12
1.830000000000000000e+02 -1.210658838485438993e-11 -1.138964017158850563e-11 -7.769326747119056060e-12
1.840000000000000000e+02 -1.162511415634792609e-11 -1.323082547572988338e-11 -7.920800543312631125e-12
1.850000000000000000e+02 -1.006092303354200261e-11 -1.354409511036604125e-11 -9.308469336860723722e-12
1.860000000000000000e+02 -8.561583412323959070e-12 -1.294888066398937669e-11 -1.128581253034352799e-11
1.870000000000000000e+02 -8.469466184478267297e-12 -1.227217208087856843e-11 -1.313278928177736481e-11
1.880000000000000000e+02 -9.933283144164232760e-12 -1.184262631076967052e-11 -1.409539805619990568e-11
1.890000000000000000e+02 -1.164850330868845815e-11 -1.149573886611451371e-11 -1.349251011397078155e-11
1.900000000000000000e+02 -1.205328587187886243e-11 -1.103386810830729233e-11 -1.120714472682588947e-11
1.910000000000000000e+02 -1.060447814113750069e-11 -1.043855870919752136e-11 -8.074152029620594794e-12
1.920000000000000000e+02 -8.058306311092253419e-12 -9.675758022413569835e-12 -5.583407887274854127e-12
1.930000000000000000e+02 -5.970713915561072681e-12 -8.636844605802122305e-12 -5.062174216265601642e-12
1.940000000000000000e+02 -5.746013874264073287e-12 -7.368772549193153340e-12 -6.865089029250848882e-12
1.950000000000000000e+02 -7.557046551906175140e-12 -6.229504157071712091e-12 -9.967934200443251192e-12
1.960000000000000000e+02 -9.977833323572789928e-12 -5.828360737186421846e-12 -1.239617635733458960e-11
1.970000000000000000e+02 -1.105146500112815551e-11 -6.698105672949463235e-12 -1.248950753019221225e-11
1.980000000000000000e+02 -9.932905312295805590e-12 -8.735821898093564082e-12 -1.015116061753984758e-11
1.990000000000000000e+02 -7.322124172074995137e-12 -1.091636259145127581e-11 -6.961311541239271605e-12
2.000000000000000000e+02 -4.612657312888418975e-12 -1.181878271074628885e-11 -4.947205327047094713e-12
2.010000000000000000e+02 -3.101486422539639622e-12 -1.077652592971537458e-11 -5.082444002678631944e-12
2.020000000000000000e+02 -3.532496382865765125e-12 -8.411219162513211161e-12 -6.757104116537693446e-12
2.030000000000000000e+02 -5.584851246681659851e-12 -5.878786980771879821e-12 -8.386882210789814553e-12
2.040000000000000000e+02 -7.824134446548857736e-12 -4.018962185155914863e-12 -8.634508944028682042e-12
2.050000000000000000e+02 -8.686131338344108160e-12 -3.320484644689198214e-12 -7.453923559040579061e-12
2.060000000000000000e+02 -7.693608547405717990e-12 -4.045879922145138465e-12 -6.072660205794965455e-12
2.070000000000000000e+02 -5.696959111808556862e-12 -5.963707935471428265e-12 -5.813120570517984558e-12
2.080000000000000000e+02 -4.197438047612677609e-12 -8.158968818353775886e-12 -6.999519244173569600e-12
2.090000000000000000e+02 -4.340241998417691170e-12 -9.418080241446915242e-12 -8.819370763336248750e-12
2.100000000000000000e+02 -5.953044213699181924e-12 -8.910162778863045803e-12 -9.843922044713070970e-12
2.110000000000000000e+02 -7.486939843645806054e-12 -6.723221413446053202e-12 -8.930287152037851001e-12
2.120000000000000000e+02 -7.391584549561280948e-12 -4.112775970681951473e-12 -6.197364763419413353e-12
2.130000000000000000e+02 -5.554271492779712471e-12 -2.962219604652435395e-12 -3.154170678129244921e-12
2.140000000000000000e+02 -3.229921814761140886e-12 -4.336646793080955148e-12 -1.689133541182493497e-12
2.150000000000000000e+02 -2.034769969898480105e-12 -7.367509967213315071e-12 -2.828962644443243396e-12
2.160000000000000000e+02 -3.027686890227113321e-12 -9.738739293242229403e-12 -6.066433342859902914e-12
2.170000000000000000e+02 -5.953559564910240806e-12 -9.519457335479774920e-12 -9.674351686575589350e-12
2.180000000000000000e+02 -9.150228727467530607e-12 -6.650524356328775736e-12 -1.181394064873355661e-11
2.190000000000000000e+02 -1.063691084561886883e-11 -2.920846602567481052e-12 -1.151536252938312683e-11
2.200000000000000000e+02 -9.630755254375738321e-12 -6.210937103646443099e-13 -8.993741772392505596e-12
2.210000000000000000e+02 -7.142209641490052209e-12 -9.669352465323231649e-13 -5.439277456382381784e-12
2.220000000000000000e+02 -5.047827315463984805e-12 -3.432974579167855618e-12 -2.499387289572364472e-12
2.230000000000000000e+02 -4.406738626249577763e-12 -6.226519133509444764e-12 -1.543413783181809584e-12
2.240000000000000000e+02 -4.794775148875154647e-12 -7.573708141495946145e-12 -2.912040958547529014e-12
2.250000000000000000e+02 -5.145706915781961994e-12 -7.121159389373191262e-12 -5.727807826261887817e-12
2.260000000000000000e+02 -4.681564066736664424e-12 -5.952456470510956093e-12 -8.411292477215146477e-12
2.270000000000000000e+02 -3.361250238866586561e-12 -5.054563265060224250e-12 -9.495047033824484667e-12
2.280000000000000000e+02 -2.074849662685658827e-12 -4.406615061312985760e-12 -8.489096258433001032e-12
2.290000000000000000e+02 -2.195815926631517932e-12 -3.690032510438695414e-12 -6.209186754709985252e-12
2.300000000000000000e+02 -4.299536521421056554e-12 -3.006517638141803143e-12 -4.024413438443576173e-12
2.310000000000000000e+02 -7.275958626702202438e-12 -2.614138146194647831e-12 -2.781239099869505248e-12
2.320000000000000000e+02 -9.154855784811297100e-12 -2.669173014544740136e-12 -2.394276079865862416e-12
2.330000000000000000e+02 -8.811822241818773378e-12 -3.387299904641977916e-12 -2.270281036028823827e-12
2.340000000000000000e+02 -6.700709183415808212e-12 -4.879861212320165424e-12 -2.178059555854623477e-12
2.350000000000000000e+02 -4.253764525339553631e-12 -6.593522629360242140e-12 -2.622670626230867500e-12
2.360000000000000000e+02 -2.835067776489804268e-12 -7.356132040655969942e-12 -4.229637641775295909e-12
2.370000000000000000e+02 -2.924956423366333684e-12 -6.319919703225836593e-12 -6.896970801329811077e-12
2.380000000000000000e+02 -3.916138455954719573e-12 -3.802692268146144545e-12 -9.512776845589523039e-12
2.390000000000000000e+02 -4.627916322448861328e-12 -1.104866454123668713e-12 -1.037000955526546615e-11
2.400000000000000000e+02 -4.168939983686352648e-12 3.582305163074094894e-13 -8.295801953571683255e-12
2.410000000000000000e+02 -2.572875114941094245e-12 -2.287480129933556533e-13 -3.763793602815271368e-12
2.420000000000000000e+02 -8.546425632759485739e-13 -2.579288920722100353e-12 1.166782401466771944e-12
2.430000000000000000e+02 -3.163863857768840945e-13 -5.282675765192722341e-12 4.050118686536300823e-12
2.440000000000000000e+02 -1.567938143467209668e-12 -6.817492244930519764e-12 3.462093860679945422e-12
2.450000000000000000e+02 -4.077038363680396859e-12 -6.717174833091818916e-12 -1.214796171633017455e-13
2.460000000000000000e+02 -6.466509734684990405e-12 -5.572688036498732033e-12 -4.572606317768075964e-12
2.470000000000000000e+02 -7.377590905110850106e-12 -4.297410871965344603e-12 -7.590158311555917398e-12
2.480000000000000000e+02 -6.411852583838232045e-12 -3.583419950532762944e-12 -8.206248682152860309e-12
2.490000000000000000e+02 -4.366138770527047407e-12 -3.606173567725268232e-12 -7.067354628218888551e-12
2.500000000000000000e+02 -2.567321915403941035e-12 -3.983728477754004911e-12 -5.621165435925555569e-12
2.510000000000000000e+02 -1.916726990575452600e-12 -4.038788128175682614e-12 -4.931248476273044234e-12
2.520000000000000000e+02 -2.267862780951946976e-12 -3.267481325678930384e-12 -4.842096553812972806e-12
2.530000000000000000e+02 -2.573881823787029072e-12 -1.886345817516555511e-12 -4.328880081052915207e-12
2.540000000000000000e+02 -1.872648567268222946e-12 -8.814001998273969057e-13 -2.789102461735757924e-12
2.550000000000000000e+02 -3.283997888421529724e-13 -1.232109877412619897e-12 -7.570961445667839766e-13
2.560000000000000000e+02 7.827826220905134890e-13 -2.993307801458025623e-12 5.219643857729557692e-13
2.570000000000000000e+02 2.460613922263430157e-13 -5.171183398543841153e-12 2.155454823139711081e-14
2.580000000000000000e+02 -1.996229564281708282e-12 -6.503681470965668147e-12 -2.342383817756918728e-12
2.590000000000000000e+02 -4.956555112877811959e-12 -6.325473547601678000e-12 -5.627676141381054592e-12
2.600000000000000000e+02 -7.438330271311458295e-12 -4.889608912270240469e-12 -8.293527538969193023e-12
2.610000000000000000e+02 -8.582942920663335448e-12 -3.210335424209087718e-12 -8.984749808361239724e-12
2.620000000000000000e+02 -8.130941485920042759e-12 -2.431537984484975141e-12 -7.484175021300917851e-12
2.630000000000000000e+02 -6.405436665164727517e-12 -2.904354504969752023e-12 -4.940882284039521768e-12
2.640000000000000000e+02 -3.890402083360715166e-12 -3.868781280501896049e-12 -2.922964788472104266e-12
2.650000000000000000e+02 -1.072979258038966808e-12 -4.152967008572642292e-12 -2.230802422741377615e-12
2.660000000000000000e+02 1.242316185195907308e-12 -3.290867781059358116e-12 -2.547281634975358905e-12
2.670000000000000000e+02 2.100373972354928572e-12 -1.999773941232495723e-12 -2.965379724228641028e-12
2.680000000000000000e+02 1.135092916050440971e-12 -1.477172367895418434e-12 -2.849348296101715069e-12
2.690000000000000000e+02 -1.199595941114344417e-12 -2.310191943540930085e-12 -2.322443808513028350e-12
2.700000000000000000e+02 -4.030463228882145637e-12 -4.046941228299444962e-12 -2.012467197098281315e-12
2.710000000000000000e+02 -6.339664821975034051e-12 -5.570712320403927566e-12 -2.473582849491721421e-12
2.720000000000000000e+02 -7.230074069646642615e-12 -5.884734624138897260e-12 -3.730804045909934508e-12
2.730000000000000000e+02 -6.473181451931466042e-12 -4.754291148373169377e-12 -5.101832424365571118e-12
2.740000000000000000e+02 -4.690493025566777723e-12 -2.792162629482462649e-12 -5.578708421182682708e-12
2.750000000000000000e+02 -2.828014001696151688e-12 -1.063792255627549562e-12 -4.704977623186213296e-12
